,cool_runtime_stg1
2011-04-09,49.0
2011-05-12,99.0
2011-05-21,65.0
2011-05-30,233.0
2011-05-31,183.0
2011-06-01,159.0
2011-06-03,352.0
2011-06-04,375.0
2011-06-05,188.0
2011-06-07,342.0
2011-06-08,369.0
2011-06-09,314.0
2011-06-10,288.0
2011-06-16,134.0
2011-06-19,152.0
2011-06-20,258.0
2011-06-21,110.0
2011-06-22,67.0
2011-06-24,44.0
2011-06-25,31.0
2011-06-27,61.0
2011-06-28,69.0
2011-06-29,77.0
2011-06-30,241.0
2011-07-01,290.0
2011-07-02,399.0
2011-07-03,131.0
2011-07-04,102.0
2011-07-05,176.0
2011-07-06,230.0
2011-07-07,143.0
2011-07-08,140.0
2011-07-10,368.0
2011-07-11,541.9999999999999
2011-07-12,375.0
2011-07-13,163.0
2011-07-14,198.0
2011-07-15,208.0
2011-07-16,277.0
2011-07-17,350.0
2011-07-18,376.0
2011-07-19,489.0
2011-07-20,481.9999999999999
2011-07-21,589.0
2011-07-22,523.0
2011-07-23,490.9999999999999
2011-07-24,236.0
2011-07-25,357.0
2011-07-26,419.0
2011-07-27,413.0
2011-07-28,489.0
2011-07-29,391.0
2011-07-30,183.0
2011-07-31,325.0
2011-08-01,387.0
2011-08-02,510.0
2011-08-03,523.9999999999999
2011-08-04,286.0
2011-08-05,77.0
2011-08-06,287.0
2011-08-07,422.0
2011-08-08,166.0
2011-08-09,274.0
2011-08-13,193.0
2011-08-17,183.0
2011-08-18,247.0
2011-08-19,179.0
2011-08-20,117.0
2011-08-21,226.0
2011-08-22,98.0
2011-08-23,327.0
2011-08-24,454.9999999999999
2011-08-28,104.0
2011-08-30,141.0
2011-08-31,380.0
2011-09-01,448.9999999999999
2011-09-02,418.0
2011-09-03,317.0
2011-09-13,224.0
2012-03-20,30.0
2012-04-01,99.0
2012-04-25,61.99999999999999
2012-05-03,106.0
2012-05-04,74.0
2012-05-05,229.0
2012-05-06,248.0
2012-05-18,37.0
2012-05-20,159.0
2012-05-23,42.0
2012-05-25,274.0
2012-05-26,305.0
2012-05-27,361.0
2012-05-28,336.0
2012-05-29,171.0
2012-06-03,40.0
2012-06-04,148.0
2012-06-08,87.0
2012-06-12,48.0
2012-06-14,81.0
2012-06-16,389.0
2012-06-18,319.0
2012-06-19,293.0
2012-06-20,358.0
2012-06-21,166.0
2012-06-23,126.0
2012-06-25,263.0
2012-06-26,52.99999999999999
2012-06-28,574.0
2012-06-29,580.9999999999999
2012-06-30,520.0
2012-07-01,505.0
2012-07-02,359.0
2012-07-03,439.0
2012-07-04,613.9999999999999
2012-07-05,612.0
2012-07-06,721.9999999999999
2012-07-07,598.0
2012-07-08,345.0
2012-07-09,291.0
2012-07-10,372.0
2012-07-11,295.0
2012-07-12,354.0
2012-07-13,293.0
2012-07-14,231.0
2012-07-15,360.0
2012-07-16,417.0
2012-07-17,478.9999999999999
2012-07-18,616.0
2012-07-19,619.0
2012-07-20,177.0
2012-07-22,438.0
2012-07-23,633.0
2012-07-24,700.0
2012-07-25,730.0
2012-07-26,410.0
2012-07-27,400.0
2012-07-29,73.0
2012-07-30,184.0
2012-07-31,445.9999999999999
2012-08-01,403.0
2012-08-02,296.0
2012-08-03,448.9999999999999
2012-08-04,277.0
2012-08-08,408.0
2012-08-09,287.0
2012-08-16,180.0
2012-08-22,157.0
2012-08-23,236.0
2012-08-24,250.0
2012-08-25,170.0
2012-08-26,190.0
2012-08-27,146.0
2012-08-28,173.0
2012-08-29,209.0
2012-08-30,333.0
2012-08-31,89.0
2012-09-01,79.0
2012-09-02,125.0
2012-09-03,133.0
2012-09-04,197.0
2012-09-05,84.0
2012-09-06,128.0
2013-05-15,208.0
2013-05-19,205.0
2013-05-28,84.0
2013-05-29,186.0
2013-05-30,74.0
2013-06-12,428.0
2013-06-13,110.0
2013-06-16,90.0
2013-06-18,170.0
2013-06-19,134.0
2013-06-20,247.0
2013-06-21,313.0
2013-06-22,153.0
2013-06-24,288.0
2013-06-25,348.0
2013-06-26,197.0
2013-06-27,373.0
2013-06-28,279.0
2013-06-29,61.0
2013-07-04,99.0
2013-07-06,141.0
2013-07-07,267.0
2013-07-08,301.0
2013-07-09,395.0
2013-07-10,207.0
2013-07-12,52.0
2013-07-14,173.0
2013-07-15,272.0
2013-07-16,314.0
2013-07-17,387.0
2013-07-18,410.0
2013-07-19,387.0
2013-07-20,271.0
2013-07-21,82.0
2013-07-22,272.0
2013-07-23,298.0
2013-07-31,75.0
2013-08-01,160.0
2013-08-02,105.0
2013-08-03,143.0
2013-08-06,154.0
2013-08-07,141.0
2013-08-08,97.0
2013-08-09,67.0
2013-08-10,117.0
2013-08-11,84.0
2013-08-21,225.0
2013-08-22,222.0
2013-08-23,169.0
2013-08-26,316.0
2013-08-27,349.0
2013-08-28,346.0
2013-08-29,386.0
2013-08-30,403.0
2013-08-31,462.0
2013-09-01,210.0
2013-09-02,90.0
2013-09-06,126.0
2013-09-08,67.0
2013-09-09,327.0
2013-09-10,329.0
2013-09-11,342.0
2013-09-12,121.0
2013-09-19,167.0
2013-10-02,49.99999999999999
2013-10-04,149.0
2014-05-07,106.0
2014-05-08,136.0
2014-05-11,157.0
2014-05-12,170.0
2014-05-21,174.0
2014-05-22,57.0
2014-05-26,90.0
2014-05-27,103.0
2014-05-29,99.0
2014-05-30,101.0
2014-06-01,235.0
2014-06-02,139.0
2014-06-03,280.0
2014-06-04,143.0
2014-06-15,117.0
2014-06-16,308.0
2014-06-17,310.0
2014-06-18,317.0
2014-06-19,389.0
2014-06-20,209.0
2014-06-21,256.0
2014-06-22,125.0
2014-06-23,108.0
2014-06-26,231.0
2014-06-27,112.0
2014-06-28,226.0
2014-06-29,123.0
2014-06-30,362.0
2014-07-01,233.0
2014-07-07,267.0
2014-07-08,137.0
2014-07-11,207.0
2014-07-12,373.0
2014-07-13,284.0
2014-07-14,68.0
2014-07-23,224.0
2014-07-26,325.0
2014-07-27,370.0
2014-08-05,185.0
2014-08-06,161.0
2014-08-08,103.0
2014-08-09,52.0
2014-08-10,88.0
2014-08-11,142.0
2014-08-16,44.0
2014-08-18,117.0
2014-08-20,199.0
2014-08-21,341.0
2014-08-22,357.0
2014-08-23,448.9999999999999
2014-08-24,418.0
2014-08-25,420.0
2014-08-26,328.0
2014-08-27,217.0
2014-08-28,193.0
2014-08-29,255.0
2014-08-30,136.0
2014-08-31,177.0
2014-09-01,149.0
2014-09-02,51.0
2014-09-03,124.0
2014-09-04,232.0
2014-09-05,274.0
2014-09-09,136.0
2014-09-10,176.0
2014-09-30,40.0
2014-10-01,126.0
2014-10-27,55.0
