tau,alpha,sq_errors,sq_errors_old,is_best_tau
-5.0,67.85788981966255,2348.8505931075097,695259.775559823,False
-4.9,67.15351896883271,2255.408932091113,667601.0438989694,False
-4.8,66.45786890165387,2164.032960063005,640553.7561786494,False
-4.7,65.77145489131343,2074.8593530165404,614158.3684928961,False
-4.6,65.09275659374461,1988.4256337319173,588573.9875846474,False
-4.5,64.42314978442106,1904.880250958667,563844.5542837655,False
-4.4,63.7611250009627,1823.902699087339,539875.1989298525,False
-4.3,63.10506531196457,1744.8027890704611,516461.62556485645,False
-4.2,62.45675334761621,1667.2234905434057,493498.15320084814,False
-4.1,61.81737073660417,1592.3165795938457,471325.70755977836,False
-4.0,61.18609771989202,1520.3609611422614,450026.84449810936,False
-3.9,60.56240586669903,1451.6187664908782,429679.15488129994,False
-3.8,59.94483467366879,1384.968340906417,409950.62890829943,False
-3.7,59.33351405436825,1320.6745085089183,390919.6545186397,False
-3.6,58.72913784948812,1258.9272559793076,372642.467769875,False
-3.5,58.1327576133509,1199.6634027603857,355100.36721707403,False
-3.4,57.54362147863253,1142.8824329608756,338293.2001564192,False
-3.3,56.9603597098873,1088.230433816564,322116.208409703,False
-3.2,56.382819062518486,1035.6614329749348,306555.78416058066,False
-3.1,55.81248749310457,985.4899082271947,291705.01283524977,False
-3.0,55.2502395032622,937.7305137768759,277568.2320779552,False
-2.9,54.694802871502844,892.1198012007546,264067.4611554234,False
-2.8,54.14310052093683,847.7232498624212,250926.08195927663,False
-2.7,53.59668446951622,805.1082928738284,238312.05469065328,False
-2.6,53.05556429871152,764.5002725198784,226292.080665884,False
-2.5,52.520867271440316,725.4957096706763,214746.73006252016,False
-2.4,51.99315616683664,688.4951034785499,203794.55062965077,False
-2.3,51.47018425134638,653.0706088891498,193308.90023118834,False
-2.2,50.952799560496345,619.8287478904025,183469.30937555907,False
-2.1,50.44127530325957,588.7757494239551,174277.62182949076,False
-2.0,49.93528627420029,560.1308383478947,165798.72815097688,False
-1.9,49.43368787108228,533.4953095804403,157914.61163581038,False
-1.8,48.936043157129795,508.53136345855216,150525.2835837315,False
-1.7,48.441783310932635,485.41417160320145,143682.59479454762,False
-1.6,47.95255414463257,464.56147023906345,137510.19519076278,False
-1.5,47.46873666977714,445.7945480963929,131955.18623653232,False
-1.4,46.989342270397636,429.23492427091315,127053.53758419026,False
-1.3,46.51155363590236,414.4711030782693,122683.44651116774,False
-1.2,46.03749868106677,402.1020752507459,119022.21427422078,False
-1.1,45.56733222518651,392.26924044666606,116111.69517221313,False
-1.0,45.10131662042262,384.87337091329437,113922.51779033514,False
-0.9,44.63903859612839,380.12613780870214,112517.33679137587,False
-0.8,44.177776111908074,377.6208193257553,111775.76252042358,True
-0.7,43.71922976911185,377.7333000148652,111809.05680440014,False
-0.6,43.264335407279155,380.4843639045621,112623.37171575036,False
-0.5,42.81358842786083,385.87363541394075,114218.59608252648,False
-0.4,42.36548568154384,394.0596558782339,116641.65813995723,False
-0.3,41.917201907541596,405.25026081409044,119954.0772009708,False
-0.2,41.4729087847275,419.53759371174255,124183.12773867577,False
-0.1,41.03341628439131,437.03260713181646,129361.65171101766,False
0.0,40.59835778595303,457.9861308112665,135563.89472013488,False
0.1,40.166284382441155,482.14926799411575,142716.18332625827,False
0.2,39.73460374347718,509.375136677791,150775.0404566261,False
0.3,39.30648050433644,539.8095947428927,159783.64004389627,False
0.4,38.88323974528809,573.3471075658292,169710.74383948543,False
0.5,38.46389306889658,610.1300309393382,180598.4891580441,False
0.6,38.048108854269884,650.502232454315,192548.66080647724,False
0.7,37.634962102263344,694.6486878805412,205616.0116126402,False
0.8,37.226524953613875,741.7832018397219,219567.82774455764,False
0.9,36.82318194285329,791.5636775139876,234302.84854414035,False
1.0,36.424327083946984,844.0315202246205,249833.32998648766,False
1.1,36.02970774886799,899.6342242639544,266291.7303821305,False
1.2,35.638553636661946,958.269692826975,283647.8290767846,False
1.3,35.25214662592311,1019.6827675488117,301826.0991944482,False
1.4,34.871424476582646,1083.5149365050568,320720.4212054968,False
1.5,34.4955966251848,1150.1119674254592,340433.14235793595,False
1.6,34.124791796792316,1219.4530318694954,360958.09743337065,False
1.7,33.75848391355533,1291.5706041289325,382304.89882216393,False
1.8,33.39735642555423,1366.0770654715363,404358.81137957476,False
1.9,33.04186942857333,1442.5443786123176,426993.136069246,False
2.0,32.691558709445914,1520.911013269249,450189.6599276978,False
2.1,32.346657777914956,1600.9054622325186,473868.01682082546,False
2.2,32.00700296852023,1682.4563717065967,498007.08602515253,False
2.3,31.672549137333974,1765.4472066558324,522572.3731701264,False
2.4,31.343490122199135,1849.7570357846232,547528.0825922483,False
2.5,31.019439845611192,1935.4612346997026,572896.525471112,False
2.6,30.700423657055033,2022.1322505548203,598551.1461642268,False
2.7,30.386397710742916,2110.0228377159747,624566.7599639286,False
2.8,30.077474164472136,2198.776911142741,650837.9656982514,False
2.9,29.77366143558604,2288.236532700424,677318.0136793257,False
3.0,29.474709654075443,2378.4237518438595,704013.4305457824,False
3.1,29.180695427543057,2468.9925011959494,730821.7803540011,False
3.2,28.891235981035194,2560.115879385713,757794.3002981712,False
