,heat_runtime_stg1
2011-01-01,1374.0
2011-01-02,1400.0
2011-01-03,1191.9999999999998
2011-01-04,1269.9999999999998
2011-01-05,1290.0
2011-01-06,1329.9999999999998
2011-01-07,1284.9999999999998
2011-01-08,1440.0
2011-01-09,1419.9999999999998
2011-01-10,1374.0
2011-01-11,1428.9999999999998
2011-01-12,1440.0
2011-01-13,1439.0
2011-01-14,1269.0
2011-01-15,1248.0
2011-01-16,1421.0
2011-01-17,1146.9999999999998
2011-01-18,1202.0
2011-01-19,1413.9999999999998
2011-01-20,1440.0
2011-01-21,1440.0
2011-01-22,1334.0
2011-01-23,1383.9999999999998
2011-01-24,1305.0
2011-01-25,1403.0
2011-01-26,1326.0
2011-01-27,1257.9999999999998
2011-01-28,1172.0
2011-01-29,1089.9999999999998
2011-01-30,1266.9999999999998
2011-01-31,1347.9999999999998
2011-02-01,1424.0
2011-02-02,1440.0
2011-02-03,1440.0
2011-02-04,1428.0
2011-02-05,1320.9999999999998
2011-02-06,1194.0
2011-02-07,1359.0
2011-02-08,1440.0
2011-02-09,1440.0
2011-02-10,1427.0
2011-02-11,1209.0
2011-02-12,924.9999999999998
2011-02-13,546.0
2011-02-14,903.0
2011-02-15,879.9999999999998
2011-02-16,448.9999999999999
2011-02-17,201.0
2011-02-18,616.9999999999999
2011-02-19,808.0
2011-02-20,315.0
2011-02-21,776.0
2011-02-22,1338.9999999999998
2011-02-23,1086.0
2011-02-24,1098.0
2011-02-25,1197.9999999999998
2011-02-26,1010.0
2011-02-27,556.9999999999999
2011-02-28,1089.9999999999998
2011-03-01,1043.0
2011-03-02,966.0
2011-03-03,714.0
2011-03-04,365.0
2011-03-05,1052.0
2011-03-06,1133.0
2011-03-07,989.0
2011-03-08,800.0
2011-03-09,824.0
2011-03-10,1182.0
2011-03-11,870.9999999999998
2011-03-12,490.0
2011-03-13,1052.0
2011-03-14,1104.0
2011-03-15,1023.0
2011-03-16,666.0
2011-03-17,192.0
2011-03-18,505.0
2011-03-19,631.0
2011-03-20,238.0
2011-03-21,23.0
2011-03-22,83.0
2011-03-23,288.0
2011-03-24,1092.0
2011-03-25,
2011-03-26,1209.9999999999998
2011-03-27,1146.0
2011-03-28,1001.0
2011-03-29,935.0
2011-03-30,912.0
2011-03-31,850.0
2011-04-01,730.9999999999999
2011-04-02,490.0
2011-04-03,60.0
2011-04-04,612.0
2011-04-05,580.0
2011-04-06,239.0
2011-04-07,275.0
2011-04-08,55.99999999999999
2011-04-09,0.0
2011-04-10,1.9999999999999991
2011-04-11,185.0
2011-04-12,365.0
2011-04-13,314.0
2011-04-14,216.0
2011-04-15,323.0
2011-04-16,794.0
2011-04-17,286.0
2011-04-18,140.0
2011-04-19,178.0
2011-04-20,738.0
2011-04-21,576.0
2011-04-22,170.0
2011-04-23,318.0
2011-04-24,384.0
2011-04-25,205.0
2011-04-26,168.0
2011-04-27,546.0
2011-04-28,361.0
2011-04-29,333.0
2011-04-30,126.0
2011-05-01,442.9999999999999
2011-05-02,675.0
2011-05-03,613.9999999999999
2011-05-04,643.9999999999999
2011-05-05,423.0
2011-05-06,306.0
2011-05-07,103.0
2011-05-08,72.0
2011-05-09,0.9999999999999984
2011-05-10,0.9999999999999984
2011-05-11,0.9999999999999984
2011-05-12,0.0
2011-05-13,120.0
2011-05-14,487.0
2011-05-15,619.0
2011-05-16,502.9999999999999
2011-05-17,516.0
2011-05-18,213.0
2011-05-19,202.0
2011-05-20,14.0
2011-05-21,0.0
2011-05-22,12.0
2011-05-23,16.0
2011-05-24,30.0
2011-05-25,47.0
2011-05-26,411.0
2011-05-27,279.0
2011-05-28,99.0
2011-05-29,1.9999999999999991
2011-05-30,0.0
2011-05-31,0.0
2011-06-01,0.0
2011-06-02,3.9999999999999982
2011-06-03,0.0
2011-06-04,0.0
2011-06-05,0.0
2011-06-06,4.999999999999999
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-11,0.9999999999999984
2011-06-12,49.0
2011-06-13,51.0
2011-06-14,19.0
2011-06-15,3.9999999999999982
2011-06-16,0.0
2011-06-17,0.0
2011-06-18,0.9999999999999984
2011-06-19,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,3.0
2011-06-24,0.0
2011-06-25,0.0
2011-06-26,0.0
2011-06-27,0.0
2011-06-28,0.0
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,0.0
2011-07-02,0.0
2011-07-03,0.0
2011-07-04,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,0.0
2011-07-08,0.0
2011-07-09,1.9999999999999991
2011-07-10,0.0
2011-07-11,0.0
2011-07-12,0.0
2011-07-13,0.0
2011-07-14,0.0
2011-07-15,0.0
2011-07-16,0.0
2011-07-17,0.0
2011-07-18,0.0
2011-07-19,0.0
2011-07-20,0.0
2011-07-21,0.0
2011-07-22,0.0
2011-07-23,0.0
2011-07-24,0.0
2011-07-25,0.0
2011-07-26,0.0
2011-07-27,0.0
2011-07-28,0.0
2011-07-29,0.0
2011-07-30,0.0
2011-07-31,0.0
2011-08-01,0.0
2011-08-02,0.0
2011-08-03,0.0
2011-08-04,0.0
2011-08-05,0.0
2011-08-06,0.0
2011-08-07,0.0
2011-08-08,0.0
2011-08-09,0.0
2011-08-10,12.0
2011-08-11,33.0
2011-08-12,3.9999999999999982
2011-08-13,0.0
2011-08-14,4.999999999999999
2011-08-15,54.0
2011-08-16,80.0
2011-08-17,0.0
2011-08-18,0.0
2011-08-19,0.0
2011-08-20,0.0
2011-08-21,0.0
2011-08-22,0.0
2011-08-23,0.0
2011-08-24,0.0
2011-08-25,3.0
2011-08-26,0.9999999999999984
2011-08-27,3.0
2011-08-28,0.0
2011-08-29,21.0
2011-08-30,0.0
2011-08-31,0.0
2011-09-01,0.0
2011-09-02,0.0
2011-09-03,0.0
2011-09-04,7.0
2011-09-05,121.0
2011-09-06,191.0
2011-09-07,154.0
2011-09-08,185.0
2011-09-09,104.0
2011-09-10,75.0
2011-09-11,114.0
2011-09-12,14.0
2011-09-13,0.0
2011-09-14,270.0
2011-09-15,417.0
2011-09-16,241.0
2011-09-17,204.0
2011-09-18,114.0
2011-09-19,138.0
2011-09-20,208.0
2011-09-21,114.0
2011-09-22,390.0
2011-09-23,481.9999999999999
2011-09-24,385.0
2011-09-25,453.0
2011-09-26,267.0
2011-09-27,266.0
2011-09-28,173.0
2011-09-29,85.0
2011-09-30,222.0
2011-10-01,502.0
2011-10-02,516.0
2011-10-03,447.0
2011-10-04,359.0
2011-10-05,266.0
2011-10-06,115.0
2011-10-07,58.0
2011-10-08,131.0
2011-10-09,152.0
2011-10-10,185.0
2011-10-11,128.0
2011-10-12,124.0
2011-10-13,160.0
2011-10-14,227.0
2011-10-15,363.0
2011-10-16,65.0
2011-10-17,552.0
2011-10-18,646.0
2011-10-19,675.0
2011-10-20,661.9999999999999
2011-10-21,709.9999999999999
2011-10-22,504.0
2011-10-23,219.0
2011-10-24,231.0
2011-10-25,134.0
2011-10-26,372.0
2011-10-27,666.0
2011-10-28,726.0
2011-10-29,642.0
2011-10-30,489.0
2011-10-31,655.0
2011-11-01,417.0
2011-11-02,283.0
2011-11-03,613.0
2011-11-04,709.9999999999999
2011-11-05,703.9999999999999
2011-11-06,302.0
2011-11-07,221.0
2011-11-08,164.0
2011-11-09,652.0
2011-11-10,954.9999999999998
2011-11-11,776.0
2011-11-12,404.0
2011-11-13,70.0
2011-11-14,41.0
2011-11-15,407.0
2011-11-16,828.0
2011-11-17,1050.9999999999998
2011-11-18,783.0
2011-11-19,354.0
2011-11-20,851.0
2011-11-21,757.0
2011-11-22,747.0
2011-11-23,779.0
2011-11-24,688.9999999999999
2011-11-25,501.0
2011-11-26,444.0
2011-11-27,990.0
2011-11-28,1071.9999999999998
2011-11-29,1100.0
2011-11-30,1148.0
2011-12-01,1086.0
2011-12-02,915.0
2011-12-03,592.9999999999999
2011-12-04,796.0
2011-12-05,1245.9999999999998
2011-12-06,1208.0
2011-12-07,1227.0
2011-12-08,1062.9999999999998
2011-12-09,1224.9999999999998
2011-12-10,1344.9999999999998
2011-12-11,1179.0
2011-12-12,999.0
2011-12-13,807.0
2011-12-14,450.0
2011-12-15,727.0
2011-12-16,1188.0
2011-12-17,1181.0
2011-12-18,828.0
2011-12-19,613.0
2011-12-20,727.0
2011-12-21,788.0
2011-12-22,942.0
2011-12-23,1193.0
2011-12-24,1182.0
2011-12-25,1071.9999999999998
2011-12-26,1185.9999999999998
2011-12-27,1073.0
2011-12-28,1056.0
2011-12-29,619.0
2011-12-30,568.9999999999999
2011-12-31,697.9999999999999
2012-01-01,824.0
2012-01-02,1365.0
2012-01-03,1299.9999999999998
2012-01-04,933.9999999999998
2012-01-05,580.9999999999999
2012-01-06,444.0
2012-01-07,862.0
2012-01-08,1038.0
2012-01-09,1125.9999999999998
2012-01-10,1046.0
2012-01-11,
2012-01-12,1422.9999999999998
2012-01-13,1440.0
2012-01-14,1365.9999999999998
2012-01-15,1118.0
2012-01-16,387.0
2012-01-17,1014.0
2012-01-18,1317.0
2012-01-19,1311.9999999999998
2012-01-20,1421.0
2012-01-21,1403.0
2012-01-22,
2012-01-23,924.9999999999998
2012-01-24,1145.0
2012-01-25,1236.0
2012-01-26,1103.0
2012-01-27,1044.9999999999998
2012-01-28,1091.0
2012-01-29,992.0
2012-01-30,610.9999999999999
2012-01-31,334.0
2012-02-01,640.9999999999999
2012-02-02,742.0
2012-02-03,721.9999999999999
2012-02-04,760.9999999999999
2012-02-05,962.0
2012-02-06,1116.0
2012-02-07,1083.0
2012-02-08,1197.0
2012-02-09,1173.9999999999998
2012-02-10,1163.0
2012-02-11,1421.0
2012-02-12,1359.0
2012-02-13,1281.0
2012-02-14,1185.9999999999998
2012-02-15,932.0
2012-02-16,939.0
2012-02-17,954.0
2012-02-18,1001.0
2012-02-19,1170.0
2012-02-20,953.0
2012-02-21,733.9999999999999
2012-02-22,673.9999999999999
2012-02-23,490.9999999999999
2012-02-24,984.9999999999998
2012-02-25,1167.9999999999998
2012-02-26,723.0
2012-02-27,733.0
2012-02-28,652.9999999999999
2012-02-29,254.0
2012-03-01,538.0
2012-03-02,769.0
2012-03-03,1050.0
2012-03-04,1058.0
2012-03-05,933.0
2012-03-06,327.0
2012-03-07,118.0
2012-03-08,760.0
2012-03-09,846.0
2012-03-10,729.0
2012-03-11,586.0
2012-03-12,57.0
2012-03-13,223.0
2012-03-14,20.0
2012-03-15,
2012-03-16,137.0
2012-03-17,136.0
2012-03-18,70.0
2012-03-19,0.0
2012-03-20,0.0
2012-03-21,0.0
2012-03-22,322.0
2012-03-23,423.0
2012-03-24,226.0
2012-03-25,173.0
2012-03-26,244.0
2012-03-27,140.0
2012-03-28,32.0
2012-03-29,151.0
2012-03-30,57.0
2012-03-31,203.0
2012-04-01,0.0
2012-04-02,19.0
2012-04-03,4.999999999999999
2012-04-04,155.0
2012-04-05,478.9999999999999
2012-04-06,657.0
2012-04-07,372.0
2012-04-08,369.0
2012-04-09,282.0
2012-04-10,510.0
2012-04-11,733.9999999999999
2012-04-12,556.0
2012-04-13,558.0
2012-04-14,191.0
2012-04-15,58.0
2012-04-16,315.0
2012-04-17,344.0
2012-04-18,248.0
2012-04-19,188.0
2012-04-20,525.0
2012-04-21,544.9999999999999
2012-04-22,568.0
2012-04-23,477.0
2012-04-24,219.0
2012-04-25,0.0
2012-04-26,21.0
2012-04-27,480.0
2012-04-28,173.0
2012-04-29,262.0
2012-04-30,26.0
2012-05-01,35.0
2012-05-02,0.9999999999999984
2012-05-03,0.0
2012-05-04,0.0
2012-05-05,0.0
2012-05-06,0.0
2012-05-07,17.0
2012-05-08,111.0
2012-05-09,161.0
2012-05-10,190.0
2012-05-11,145.0
2012-05-12,129.0
2012-05-13,123.0
2012-05-14,131.0
2012-05-15,66.0
2012-05-16,67.0
2012-05-17,174.0
2012-05-18,0.0
2012-05-19,4.999999999999999
2012-05-20,0.0
2012-05-21,109.0
2012-05-22,161.0
2012-05-23,0.0
2012-05-24,1.9999999999999991
2012-05-25,0.0
2012-05-26,0.0
2012-05-27,0.0
2012-05-28,0.0
2012-05-29,0.0
2012-05-30,4.999999999999999
2012-05-31,239.0
2012-06-01,287.0
2012-06-02,144.0
2012-06-03,0.0
2012-06-04,0.0
2012-06-05,3.9999999999999982
2012-06-06,120.0
2012-06-07,40.0
2012-06-08,0.0
2012-06-09,11.0
2012-06-10,0.9999999999999984
2012-06-11,0.0
2012-06-12,0.0
2012-06-13,54.0
2012-06-14,0.0
2012-06-15,17.0
2012-06-16,0.0
2012-06-17,1.9999999999999991
2012-06-18,0.0
2012-06-19,0.0
2012-06-20,0.0
2012-06-21,0.0
2012-06-22,25.0
2012-06-23,0.0
2012-06-24,3.0
2012-06-25,0.0
2012-06-26,0.0
2012-06-27,13.0
2012-06-28,0.0
2012-06-29,0.0
2012-06-30,0.0
2012-07-01,0.0
2012-07-02,0.0
2012-07-03,0.0
2012-07-04,0.0
2012-07-05,0.0
2012-07-06,0.0
2012-07-07,0.0
2012-07-08,0.0
2012-07-09,0.0
2012-07-10,0.0
2012-07-11,0.0
2012-07-12,0.0
2012-07-13,0.0
2012-07-14,0.0
2012-07-15,0.0
2012-07-16,0.0
2012-07-17,0.0
2012-07-18,0.0
2012-07-19,0.0
2012-07-20,0.0
2012-07-21,7.0
2012-07-22,0.0
2012-07-23,0.0
2012-07-24,0.0
2012-07-25,0.0
2012-07-26,0.0
2012-07-27,0.0
2012-07-28,3.0
2012-07-29,0.0
2012-07-30,0.0
2012-07-31,0.0
2012-08-01,0.0
2012-08-02,0.0
2012-08-03,0.0
2012-08-04,0.0
2012-08-05,
2012-08-06,3.0
2012-08-07,12.0
2012-08-08,0.0
2012-08-09,0.0
2012-08-10,6.0
2012-08-11,15.0
2012-08-12,19.0
2012-08-13,0.0
2012-08-14,0.0
2012-08-15,40.0
2012-08-16,0.0
2012-08-17,70.0
2012-08-18,86.0
2012-08-19,13.0
2012-08-20,69.0
2012-08-21,8.0
2012-08-22,0.0
2012-08-23,0.0
2012-08-24,0.0
2012-08-25,0.0
2012-08-26,0.0
2012-08-27,0.0
2012-08-28,0.0
2012-08-29,0.0
2012-08-30,0.0
2012-08-31,0.0
2012-09-01,0.0
2012-09-02,0.0
2012-09-03,0.0
2012-09-04,0.0
2012-09-05,0.0
2012-09-06,0.0
2012-09-07,35.0
2012-09-08,112.0
2012-09-09,171.0
2012-09-10,158.0
2012-09-11,55.0
2012-09-12,55.99999999999999
2012-09-13,13.0
2012-09-14,224.0
2012-09-15,202.0
2012-09-16,83.0
2012-09-17,64.0
2012-09-18,351.0
2012-09-19,281.0
2012-09-20,167.0
2012-09-21,64.0
2012-09-22,327.0
2012-09-23,529.0
2012-09-24,369.0
