,cool_runtime_stg1
2011-03-23,73.0
2011-03-26,58.99999999999999
2011-03-27,54.0
2011-04-03,40.0
2011-04-07,35.0
2011-04-08,57.0
2011-04-09,71.0
2011-04-10,89.0
2011-04-11,120.0
2011-04-15,72.0
2011-04-19,71.0
2011-04-20,124.0
2011-04-21,70.0
2011-04-22,147.0
2011-04-23,135.0
2011-04-24,125.0
2011-04-25,154.0
2011-04-26,143.0
2011-04-27,185.0
2011-05-01,138.0
2011-05-02,163.0
2011-05-08,124.0
2011-05-09,157.0
2011-05-10,211.0
2011-05-11,180.0
2011-05-12,220.0
2011-05-13,188.0
2011-05-19,36.0
2011-05-20,128.0
2011-05-21,189.0
2011-05-22,228.0
2011-05-23,255.0
2011-05-24,335.0
2011-05-25,286.0
2011-05-26,206.0
2011-05-28,292.0
2011-05-29,347.0
2011-05-30,327.0
2011-05-31,314.0
2011-06-02,433.0
2011-06-03,356.0
2011-06-04,652.0
2011-06-05,436.0
2011-06-06,393.0
2011-06-07,268.0
2011-06-08,269.0
2011-06-09,272.0
2011-06-10,338.0
2011-06-11,330.0
2011-06-12,335.0
2011-06-13,460.9999999999999
2011-06-14,504.0
2011-06-15,496.9999999999999
2011-06-16,490.9999999999999
2011-06-17,502.9999999999999
2011-06-18,520.9999999999999
2011-06-19,532.0
2011-06-20,490.9999999999999
2011-06-21,269.0
2011-06-22,418.0
2011-06-23,340.0
2011-06-24,351.0
2011-06-26,481.9999999999999
2011-06-27,496.0
2011-06-28,327.0
2011-06-29,407.0
2011-07-01,591.0
2011-07-02,439.9999999999999
2011-07-03,475.0
2011-07-04,441.0
2011-07-05,281.0
2011-07-06,374.0
2011-07-07,511.9999999999999
2011-07-09,526.9999999999999
2011-07-10,556.9999999999999
2011-07-11,462.0
2011-07-12,285.0
2011-07-13,370.0
2011-07-14,259.0
2011-07-15,273.0
2011-07-16,139.0
2011-07-17,123.0
2011-07-18,117.0
2011-07-19,319.0
2011-07-20,389.0
2011-07-21,399.0
2011-07-22,241.0
2011-07-23,306.0
2011-07-24,150.0
2011-07-25,159.0
2011-07-26,250.0
2011-07-27,276.0
2011-07-28,215.0
2011-07-30,369.0
2011-07-31,419.0
2011-08-01,386.0
2011-08-05,387.0
2011-08-09,496.0
2011-08-12,383.0
2011-08-13,366.0
2011-08-14,320.0
2011-08-15,352.0
2011-08-16,336.0
2011-08-19,433.0
2011-08-20,475.9999999999999
2011-08-21,370.0
2011-08-22,422.0
2011-08-23,411.0
2011-08-24,350.0
2011-08-25,466.9999999999999
2011-08-26,603.0
2011-08-27,487.9999999999999
2011-08-28,481.9999999999999
2011-08-29,439.9999999999999
2011-08-30,379.0
2011-08-31,435.0
2011-09-01,263.0
2011-09-02,101.0
2011-09-03,130.0
2011-09-04,254.0
2011-09-11,157.0
2011-09-12,241.0
2011-09-13,209.0
2011-09-14,288.0
2011-09-15,160.0
2011-09-18,224.0
2011-09-19,137.0
2011-09-20,160.0
2011-09-23,152.0
2011-09-25,282.0
2011-09-26,307.0
2011-09-27,274.0
2011-09-28,225.0
2011-10-07,78.0
2011-10-08,111.0
2011-10-10,77.0
2011-10-13,89.0
2012-03-18,38.0
2012-03-24,47.0
2012-03-28,35.0
2012-03-29,58.99999999999999
2012-04-01,70.0
2012-04-02,120.0
2012-04-05,32.0
2012-04-15,90.0
2012-04-16,81.0
2012-04-26,36.0
2012-04-27,39.0
2012-04-28,76.0
2012-04-29,61.99999999999999
2012-04-30,139.0
2012-05-01,111.0
2012-05-02,49.99999999999999
2012-05-03,127.0
2012-05-04,150.0
2012-05-05,166.0
2012-05-06,128.0
2012-05-08,179.0
2012-05-09,109.0
2012-05-12,114.0
2012-05-13,84.0
2012-05-14,61.99999999999999
2012-05-16,170.0
2012-05-17,175.0
2012-05-18,202.0
2012-05-19,138.0
2012-05-20,164.0
2012-05-21,317.0
2012-05-22,195.0
2012-05-23,219.0
2012-05-24,263.0
2012-05-25,243.0
2012-05-26,349.0
2012-05-27,457.9999999999999
2012-05-28,408.0
2012-05-29,427.0
2012-05-30,347.0
2012-05-31,183.0
2012-06-01,199.0
2012-06-03,240.0
2012-06-04,311.0
2012-06-05,361.0
2012-06-06,324.0
2012-06-07,219.0
2012-06-08,69.0
2012-06-09,96.0
2012-06-10,85.0
2012-06-11,319.0
2012-06-13,186.0
2012-06-14,259.0
2012-06-15,123.0
2012-06-16,234.0
2012-06-17,206.0
2012-06-18,285.0
2012-06-19,258.0
2012-06-20,220.0
2012-06-21,319.0
2012-06-22,334.0
2012-06-23,313.0
2012-06-24,362.0
2012-06-25,457.9999999999999
2012-06-26,453.0
2012-06-27,368.0
2012-06-28,459.0
2012-06-29,454.0
2012-06-30,439.9999999999999
2012-07-03,381.0
2012-07-04,246.0
2012-07-05,425.0
2012-07-06,302.0
2012-07-07,317.0
2012-07-08,335.0
2012-07-09,290.0
2012-07-10,191.0
2012-07-11,249.0
2012-07-12,295.0
2012-07-14,144.0
2012-07-15,382.0
2012-07-16,394.0
2012-07-17,381.0
2012-07-18,141.0
2012-07-19,119.0
2012-07-20,153.0
2012-07-21,222.0
2012-07-22,411.0
2012-07-23,347.0
2012-07-24,442.0
2012-07-25,441.0
2012-07-26,466.9999999999999
2012-07-27,375.0
2012-07-28,405.0
2012-07-29,454.9999999999999
2012-07-30,514.9999999999999
2012-07-31,420.0
2012-08-01,490.9999999999999
2012-08-02,466.9999999999999
2012-08-03,481.9999999999999
2012-08-04,361.0
2012-08-05,380.0
2012-08-06,290.0
2012-08-07,330.0
2012-08-08,341.0
2012-08-09,139.0
2012-08-10,320.0
2012-08-11,252.0
2012-08-12,345.0
2012-08-13,405.0
2012-08-14,394.0
2012-08-15,418.0
2012-08-16,379.0
2012-08-17,245.0
2012-08-18,183.0
2012-08-19,82.0
2012-08-20,126.0
2012-08-21,167.0
2012-08-22,234.0
2012-08-23,249.0
2012-08-24,232.0
2012-08-25,305.0
2012-08-26,287.0
2012-08-27,364.0
2012-08-28,183.0
2012-08-31,298.0
2012-09-02,383.0
2012-09-03,396.0
2012-09-04,336.0
2012-09-05,288.0
2012-09-06,237.0
2012-09-07,273.0
2012-09-08,247.0
2012-09-09,94.0
2012-09-11,156.0
2012-09-12,198.0
2012-09-13,171.0
2012-09-18,94.0
2012-09-21,150.0
2012-09-22,180.0
2012-09-23,186.0
2012-09-24,126.0
2012-09-26,165.0
2012-09-27,161.0
2012-09-28,196.0
2012-09-30,150.0
2012-10-04,77.0
2012-10-05,114.0
2012-10-06,120.0
2012-10-11,55.0
2012-10-14,167.0
2012-10-15,85.0
2012-10-17,45.0
2012-10-25,44.0
2012-10-26,63.0
2012-11-11,32.0
2013-04-09,54.0
2013-04-10,54.0
2013-04-17,61.99999999999999
2013-04-18,49.0
2013-04-29,39.0
2013-05-15,35.0
2013-05-16,43.0
2013-05-17,97.0
2013-05-18,149.0
2013-05-19,130.0
2013-05-20,165.0
2013-05-21,205.0
2013-05-22,61.0
2013-05-23,187.0
2013-05-24,240.0
2013-05-27,196.0
2013-05-28,176.0
2013-05-29,189.0
2013-05-30,167.0
2013-05-31,247.0
2013-06-01,312.0
2013-06-02,188.0
2013-06-03,276.0
2013-06-04,326.0
2013-06-05,315.0
2013-06-06,196.0
2013-06-07,167.0
2013-06-11,405.0
2013-06-12,417.0
2013-06-13,460.9999999999999
2013-06-14,436.9999999999999
2013-06-15,315.0
2013-06-16,419.0
2013-06-17,418.0
2013-06-18,423.0
2013-06-19,328.0
2013-06-20,203.0
2013-06-21,169.0
2013-06-22,176.0
2013-06-23,236.0
2013-06-24,359.0
2013-06-25,429.0
2013-06-26,435.0
2013-06-27,519.0
2013-06-28,504.0
2013-06-29,294.0
2013-06-30,322.0
2013-07-01,293.0
2013-07-02,274.0
2013-07-03,119.0
