,heat_runtime_stg1
2011-01-01,315.0
2011-01-02,835.0
2011-01-03,863.0
2011-01-04,489.0
2011-01-05,294.0
2011-01-06,607.0
2011-01-07,484.0
2011-01-08,628.9999999999999
2011-01-09,990.9999999999998
2011-01-10,1050.9999999999998
2011-01-11,1092.9999999999998
2011-01-12,1281.9999999999998
2011-01-13,1230.9999999999998
2011-01-14,1181.0
2011-01-15,831.0
2011-01-16,640.0
2011-01-17,532.0
2011-01-18,439.9999999999999
2011-01-19,604.0
2011-01-20,610.0
2011-01-21,939.9999999999998
2011-01-22,1104.0
2011-01-23,830.0
2011-01-24,453.0
2011-01-25,439.0
2011-01-26,794.0
2011-01-27,791.0
2011-01-28,465.0
2011-01-29,543.0
2011-01-30,377.0
2011-01-31,203.0
2011-02-01,263.0
2011-02-02,1227.0
2011-02-03,1244.0
2011-02-04,1064.0
2011-02-05,1107.9999999999998
2011-02-06,843.0
2011-02-07,709.0
2011-02-08,1008.9999999999998
2011-02-09,830.0
2011-02-10,1149.9999999999998
2011-02-11,1064.0
2011-02-12,948.9999999999998
2011-02-13,786.0
2011-02-14,568.0
2011-02-15,416.0
2011-02-16,349.0
2011-02-17,213.0
2011-02-18,122.0
2011-02-19,160.0
2011-02-20,161.0
2011-02-21,67.0
2011-02-22,37.0
2011-02-23,49.0
2011-02-26,171.0
2011-03-02,308.0
2011-03-03,159.0
2011-03-04,37.0
2011-03-05,150.0
2011-03-06,675.0
2011-03-07,733.0
2011-03-08,67.0
2011-03-09,117.0
2011-03-10,496.9999999999999
2011-03-11,541.9999999999999
2011-03-12,273.0
2011-03-13,102.0
2011-03-14,52.99999999999999
2011-03-15,173.0
2011-03-16,342.0
2011-03-17,168.0
2011-03-20,52.99999999999999
2011-03-29,72.0
2011-03-30,86.0
2011-03-31,307.0
2011-04-01,110.0
2011-04-13,96.0
2011-04-16,72.0
2011-04-17,187.0
2011-04-29,64.0
2011-05-03,92.0
2011-05-05,192.0
2011-10-02,201.0
2011-10-03,197.0
2011-10-19,456.0
2011-10-20,408.0
2011-10-22,302.0
2011-10-23,186.0
2011-10-25,81.0
2011-10-26,61.0
2011-10-28,194.0
2011-10-29,457.0
2011-10-30,435.0
2011-10-31,366.0
2011-11-01,316.0
2011-11-02,211.0
2011-11-03,238.0
2011-11-04,552.0
2011-11-05,376.0
2011-11-06,200.0
2011-11-07,57.0
2011-11-10,607.0
2011-11-11,580.9999999999999
2011-11-12,409.0
2011-11-13,97.0
2011-11-17,366.0
2011-11-18,508.9999999999999
2011-11-23,196.0
2011-11-24,451.9999999999999
2011-11-25,178.0
2011-11-27,279.0
2011-11-28,903.0
2011-11-29,691.9999999999999
2011-11-30,691.0
2011-12-01,781.0
2011-12-02,453.0
2011-12-03,194.0
2011-12-06,436.9999999999999
2011-12-07,939.9999999999998
2011-12-08,981.9999999999998
2011-12-09,873.0
2011-12-10,777.0
2011-12-11,914.0
2011-12-12,444.0
2011-12-13,375.0
2011-12-14,163.0
2011-12-18,687.0
2011-12-19,400.0
2011-12-20,55.0
2011-12-21,74.0
2011-12-22,165.0
2011-12-23,532.0
2011-12-24,502.0
2011-12-25,448.0
2011-12-26,251.0
2011-12-27,601.0
2011-12-28,616.0
2011-12-29,462.0
2011-12-30,162.0
2011-12-31,356.0
2012-01-01,213.0
2012-01-02,708.0
2012-01-03,1062.0
2012-01-04,760.9999999999999
2012-01-05,416.0
2012-01-06,415.0
2012-01-07,217.0
2012-01-08,87.0
2012-01-09,49.0
2012-01-10,91.0
2012-01-11,413.0
2012-01-12,535.9999999999999
2012-01-13,1038.9999999999998
2012-01-14,759.0
2012-01-15,628.9999999999999
2012-01-16,232.0
2012-01-17,101.0
2012-01-18,637.9999999999999
2012-01-19,362.0
2012-01-20,87.0
2012-01-21,61.99999999999999
2012-01-23,79.0
2012-01-24,208.0
2012-01-26,100.0
2012-01-27,451.9999999999999
2012-01-28,375.0
2012-01-29,651.0
2012-01-30,505.0
2012-01-31,195.0
2012-02-01,98.0
2012-02-02,89.0
2012-02-03,49.0
2012-02-05,264.0
2012-02-06,435.0
2012-02-07,347.0
2012-02-08,354.0
2012-02-09,631.9999999999999
2012-02-10,570.0
2012-02-11,906.9999999999998
2012-02-12,1113.9999999999998
2012-02-13,601.9999999999999
2012-02-14,266.0
2012-02-15,320.0
2012-02-16,70.0
2012-02-17,168.0
2012-02-18,239.0
2012-02-19,508.0
2012-02-20,540.0
2012-02-21,152.0
2012-02-22,127.0
2012-02-23,33.0
2012-02-24,215.0
2012-02-25,504.0
2012-02-26,448.9999999999999
2012-02-27,333.0
2012-02-28,45.0
2012-03-03,368.0
2012-03-04,405.0
2012-03-06,253.0
2012-03-07,80.0
2012-03-09,159.0
2012-03-10,294.0
2012-03-11,74.0
2012-03-12,40.0
2012-03-16,31.0
2012-04-04,37.0
2012-04-06,37.0
2012-04-07,93.0
2012-04-08,48.0
2012-04-12,119.0
2012-04-13,77.0
2012-04-21,118.0
2012-04-23,222.0
2012-04-24,223.0
2012-10-07,133.0
