tau,alpha,sq_errors,is_best_tau
-5.0,26.85223897516607,15005.316038903771,False
-4.9,26.98678632175159,14810.59023482444,False
-4.8,27.12235102793933,14616.829630634693,False
-4.7,27.25899158403716,14423.782311156598,False
-4.6,27.396710915648395,14231.56261683259,False
-4.5,27.535502686978663,14040.29299418173,False
-4.4,27.67536927896288,13849.964317677444,False
-4.3,27.816329267017622,13660.736483583085,False
-4.2,27.95838415007367,13472.734497782772,False
-4.1,28.101531983151997,13285.978210968122,False
-4.0,28.245735062135523,13100.679590963631,False
-3.9,28.391035462552818,12916.621174055434,False
-3.8,28.537466682924382,12733.866707331943,False
-3.7,28.685022478821402,12552.665618645146,False
-3.6,28.833673372811734,12373.212023028056,False
-3.5,28.98340624906583,12195.542067857226,False
-3.4,29.134248315749076,12019.585921694641,False
-3.3,29.286175198369342,11845.712661023636,False
-3.2,29.43923176784704,11673.823994371613,False
-3.1,29.593420111867072,11503.911204235417,False
-3.0,29.748648931613364,11336.503692219881,False
-2.9,29.90500113936027,11171.152752155953,False
-2.8,30.062439946181772,11008.125754290251,False
-2.7,30.221042064058835,10847.300362538617,False
-2.6,30.380782344787068,10688.930371674516,False
-2.5,30.541603682740305,10533.23953446182,False
-2.4,30.703575867792804,10379.981201937715,False
-2.3,30.866615305611084,10229.710887834617,False
-2.2,31.030798537844596,10082.049494225665,False
-2.1,31.19615750003064,9937.035415777418,False
-2.0,31.362549507400676,9795.313532553035,False
-1.9,31.53003527472286,9656.627889408544,False
-1.8,31.698496409561756,9521.285492575222,False
-1.7,31.868059787878753,9389.280382166327,False
-1.6,32.03873162976327,9260.55961578211,False
-1.5,32.210444396703416,9135.228071364607,False
-1.4,32.383276042852614,9013.145528922034,False
-1.3,32.55712097247129,8895.082291699171,False
-1.2,32.73206145855899,8780.806045246538,False
-1.1,32.90818311954035,8669.974313313345,False
-1.0,33.08539822665523,8562.979208640789,False
-0.9,33.263765764798656,8459.6009726251,False
-0.8,33.443211793805524,8360.150277089711,False
-0.7,33.62385335287101,8264.081803164318,False
-0.6,33.80554890983616,8172.116370139842,False
-0.5,33.988191124518245,8084.380445505872,False
-0.4,34.17182561012975,8000.886178736422,False
-0.3,34.35634883705894,7921.883972313255,False
-0.2,34.54190813612683,7847.173124917607,False
-0.1,34.72863650179356,7776.4858722714935,False
0.0,34.91654640001729,7709.536235532759,False
0.1,35.10567830194613,7646.426329726473,False
0.2,35.29577994166122,7587.748129234487,False
0.3,35.48697629382528,7533.177102306848,False
0.4,35.67923988906001,7482.736307778946,False
0.5,35.87239980906886,7436.588866329828,False
0.6,36.066631209458556,7394.291889877909,False
0.7,36.261971155968006,7356.07706113061,False
0.8,36.458454299134765,7321.887817217908,False
0.9,36.656229511201836,7291.500483926882,False
1.0,36.85515487936026,7265.208672508953,False
1.1,37.055258799681255,7242.820923620038,False
1.2,37.25655506101529,7223.7976739838,False
1.3,37.45902236153658,7208.652230384493,False
1.4,37.66273149183943,7197.187058545724,False
1.5,37.86764401458853,7189.269252903147,False
1.6,38.073779872626886,7185.136480100329,False
