zipcode,group
00544,Mixed-Humid
00601,Hot-Humid
00602,Hot-Humid
00603,Hot-Humid
00604,N/A
00605,N/A
00606,Hot-Humid
00610,Hot-Humid
00611,N/A
00612,Hot-Humid
00613,N/A
00614,N/A
00616,Hot-Humid
00617,Hot-Humid
00622,Hot-Humid
00623,Hot-Humid
00624,Hot-Humid
00627,Hot-Humid
00631,N/A
00636,N/A
00637,Hot-Humid
00638,Hot-Humid
00641,Hot-Humid
00646,Hot-Humid
00647,Hot-Humid
00650,Hot-Humid
00652,Hot-Humid
00653,Hot-Humid
00656,Hot-Humid
00659,Hot-Humid
00660,Hot-Humid
00662,Hot-Humid
00664,Hot-Humid
00667,Hot-Humid
00669,Hot-Humid
00670,Hot-Humid
00674,Hot-Humid
00676,Hot-Humid
00677,Hot-Humid
00678,Hot-Humid
00680,Hot-Humid
00681,N/A
00682,Hot-Humid
00683,Hot-Humid
00685,Hot-Humid
00687,Hot-Humid
00688,Hot-Humid
00690,Hot-Humid
00692,Hot-Humid
00693,Hot-Humid
00694,N/A
00698,Hot-Humid
00703,Hot-Humid
00704,Hot-Humid
00705,Hot-Humid
00707,Hot-Humid
00714,Hot-Humid
00715,Hot-Humid
00716,Hot-Humid
00717,Hot-Humid
00718,Hot-Humid
00719,Hot-Humid
00720,Hot-Humid
00721,N/A
00723,Hot-Humid
00725,Hot-Humid
00726,N/A
00727,Hot-Humid
00728,Hot-Humid
00729,Hot-Humid
00730,Hot-Humid
00731,Hot-Humid
00732,N/A
00733,N/A
00734,N/A
00735,Hot-Humid
00736,Hot-Humid
00737,N/A
00738,Hot-Humid
00739,Hot-Humid
00740,Hot-Humid
00741,Hot-Humid
00742,N/A
00744,N/A
00745,Hot-Humid
00751,Hot-Humid
00754,Hot-Humid
00757,Hot-Humid
00765,Hot-Humid
00766,Hot-Humid
00767,Hot-Humid
00769,Hot-Humid
00771,Hot-Humid
00772,Hot-Humid
00773,Hot-Humid
00775,N/A
00777,Hot-Humid
00778,Hot-Humid
00780,Hot-Humid
00782,Hot-Humid
00783,Hot-Humid
00784,Hot-Humid
00785,N/A
00786,N/A
00791,Hot-Humid
00792,N/A
00794,Hot-Humid
00795,Hot-Humid
00801,N/A
00802,Hot-Humid
00803,N/A
00804,N/A
00805,N/A
00820,Hot-Humid
00821,N/A
00822,N/A
00823,N/A
00824,N/A
00830,Hot-Humid
00831,N/A
00840,Hot-Humid
00841,N/A
00850,Hot-Humid
00851,N/A
00901,Hot-Humid
00902,N/A
00906,N/A
00907,Hot-Humid
00908,N/A
00909,Hot-Humid
00910,N/A
00911,Hot-Humid
00912,Hot-Humid
00913,Hot-Humid
00914,N/A
00915,Hot-Humid
00916,N/A
00917,Hot-Humid
00918,Hot-Humid
00919,N/A
00920,Hot-Humid
00921,Hot-Humid
00922,N/A
00923,Hot-Humid
00924,Hot-Humid
00925,Hot-Humid
00926,Hot-Humid
00927,Hot-Humid
00928,N/A
00929,N/A
00930,N/A
00931,N/A
00933,N/A
00934,Hot-Humid
00935,Hot-Humid
00936,N/A
00937,N/A
00939,Hot-Humid
00940,N/A
00949,Hot-Humid
00950,N/A
00951,N/A
00952,Hot-Humid
00953,Hot-Humid
00954,N/A
00955,N/A
00956,Hot-Humid
00957,Hot-Humid
00958,N/A
00959,Hot-Humid
00960,N/A
00961,Hot-Humid
00962,Hot-Humid
00963,N/A
00965,Hot-Humid
00966,Hot-Humid
00968,Hot-Humid
00969,Hot-Humid
00970,N/A
00971,Hot-Humid
00975,Hot-Humid
00976,Hot-Humid
00977,N/A
00978,N/A
00979,Hot-Humid
00981,N/A
00982,Hot-Humid
00983,Hot-Humid
00984,N/A
00985,Hot-Humid
00986,N/A
00987,Hot-Humid
00988,N/A
01001,Cold
01002,Cold
01003,N/A
01004,N/A
01005,Cold
01007,Cold
01008,Cold
01009,N/A
01010,Cold
01011,Cold
01012,Cold
01013,Cold
01014,N/A
01020,Cold
01021,N/A
01022,Cold
01026,Cold
01027,Cold
01028,Cold
01029,N/A
01030,Cold
01031,Cold
01032,Cold
01033,Cold
01034,Cold
01035,Cold
01036,Cold
01037,N/A
01038,Cold
01039,Cold
01040,Cold
01041,N/A
01050,Cold
01053,Cold
01054,Cold
01056,Cold
01057,Cold
01059,N/A
01060,Cold
01061,N/A
01062,Cold
01063,Cold
01066,N/A
01068,Cold
01069,Cold
01070,Cold
01071,Cold
01072,Cold
01073,Cold
01074,N/A
01075,Cold
01077,Cold
01079,N/A
01080,Cold
01081,Cold
01082,Cold
01083,N/A
01084,Cold
01085,Cold
01086,N/A
01088,Cold
01089,Cold
01090,N/A
01092,N/A
01093,N/A
01094,N/A
01095,Cold
01096,Cold
01097,N/A
01098,Cold
01101,N/A
01102,N/A
01103,Cold
01104,Cold
01105,Cold
01106,Cold
01107,Cold
01108,Cold
01109,Cold
01111,Cold
01115,N/A
01116,N/A
01118,Cold
01119,Cold
01128,Cold
01129,Cold
01133,Cold
01138,N/A
01139,N/A
01144,Cold
01151,Cold
01152,Cold
01195,Cold
01199,Cold
01201,Cold
01202,N/A
01203,N/A
01220,Cold
01222,Cold
01223,Cold
01224,Cold
01225,Cold
01226,Cold
01227,N/A
01229,N/A
01230,Cold
01235,Cold
01236,Cold
01237,Cold
01238,Cold
01240,Cold
01242,N/A
01243,N/A
01244,N/A
01245,Cold
01247,Cold
01252,N/A
01253,Cold
01254,Cold
01255,Cold
01256,Cold
01257,Cold
01258,Cold
01259,Cold
01260,N/A
01262,N/A
01263,Cold
01264,N/A
01266,Cold
01267,Cold
01270,Cold
01301,Cold
01302,N/A
01330,Cold
01331,Cold
01337,Cold
01338,Cold
01339,Cold
01340,Cold
01341,Cold
01342,Cold
01343,Cold
01344,Cold
01346,Cold
01347,N/A
01349,Cold
01350,N/A
01351,Cold
01354,Cold
01355,Cold
01360,Cold
01364,Cold
01366,Cold
01367,Cold
01368,Cold
01370,Cold
01373,Cold
01375,Cold
01376,Cold
01378,Cold
01379,Cold
01380,Cold
01420,Cold
01430,Cold
01431,Cold
01432,Cold
01434,Cold
01436,Cold
01438,N/A
01440,Cold
01441,Cold
01450,Cold
01451,Cold
01452,Cold
01453,Cold
01460,Cold
01462,Cold
01463,Cold
01464,Cold
01467,N/A
01468,Cold
01469,Cold
01470,Cold
01471,Cold
01472,N/A
01473,Cold
01474,Cold
01475,Cold
01477,N/A
01501,Cold
01503,Cold
01504,Cold
01505,Cold
01506,Cold
01507,Cold
01508,N/A
01509,N/A
01510,Cold
01515,Cold
01516,Cold
01517,N/A
01518,Cold
01519,Cold
01520,Cold
01521,Cold
01522,Cold
01523,Cold
01524,Cold
01525,N/A
01526,N/A
01527,Cold
01529,Cold
01531,Cold
01532,Cold
01534,Cold
01535,Cold
01536,Cold
01537,Cold
01538,N/A
01540,Cold
01541,Cold
01542,Cold
01543,Cold
01545,Cold
01546,Cold
01550,Cold
01560,Cold
01561,N/A
01562,Cold
01564,Cold
01566,Cold
01568,Cold
01569,Cold
01570,Cold
01571,Cold
01580,Cold
01581,Cold
01582,Cold
01583,Cold
01585,Cold
01586,N/A
01588,Cold
01590,Cold
01601,N/A
01602,Cold
01603,Cold
01604,Cold
01605,Cold
01606,Cold
01607,Cold
01608,Cold
01609,Cold
01610,Cold
01611,Cold
01612,Cold
01613,N/A
01614,N/A
01615,N/A
01653,Cold
01654,Cold
01655,Cold
01701,Cold
01702,Cold
01703,N/A
01704,N/A
01705,N/A
01718,Cold
01719,Cold
01720,Cold
01721,Cold
01730,Cold
01731,Cold
01740,Cold
01741,Cold
01742,Cold
01745,Cold
01746,Cold
01747,Cold
01748,Cold
01749,Cold
01752,Cold
01754,Cold
01756,Cold
01757,Cold
01760,Cold
01770,Cold
01772,Cold
01773,Cold
01775,Cold
01776,Cold
01778,Cold
01784,N/A
01801,Cold
01803,Cold
01805,Cold
01806,Cold
01807,Cold
01808,Cold
01810,Cold
01812,Cold
01813,Cold
01815,Cold
01821,Cold
01822,N/A
01824,Cold
01826,Cold
01827,Cold
01830,Cold
01831,N/A
01832,Cold
01833,Cold
01834,Cold
01835,Cold
01840,Cold
01841,Cold
01842,N/A
01843,Cold
01844,Cold
01845,Cold
01850,Cold
01851,Cold
01852,Cold
01853,N/A
01854,Cold
01860,Cold
01862,Cold
01863,Cold
01864,Cold
01865,N/A
01866,N/A
01867,Cold
01876,Cold
01879,Cold
01880,Cold
01885,N/A
01886,Cold
01887,Cold
01888,N/A
01889,Cold
01890,Cold
01899,Cold
01901,Cold
01902,Cold
01903,N/A
01904,Cold
01905,Cold
01906,Cold
01907,Cold
01908,Cold
01910,Cold
01913,Cold
01915,Cold
01921,Cold
01922,Cold
01923,Cold
01929,Cold
01930,Cold
01931,N/A
01936,N/A
01937,N/A
01938,Cold
01940,Cold
01944,Cold
01945,Cold
01949,Cold
01950,Cold
01951,Cold
01952,Cold
01960,Cold
01961,N/A
01965,N/A
01966,Cold
01969,Cold
01970,Cold
01971,N/A
01982,Cold
01983,Cold
01984,Cold
01985,Cold
02018,N/A
02019,Cold
02020,N/A
02021,Cold
02025,Cold
02026,Cold
02027,N/A
02030,Cold
02031,Cold
02032,Cold
02035,Cold
02038,Cold
02040,N/A
02041,N/A
02043,Cold
02044,Cold
02045,Cold
02047,N/A
02048,Cold
02050,Cold
02051,N/A
02052,Cold
02053,Cold
02054,Cold
02055,N/A
02056,Cold
02059,N/A
02060,N/A
02061,Cold
02062,Cold
02065,N/A
02066,Cold
02067,Cold
02070,N/A
02071,Cold
02072,Cold
02081,Cold
02090,Cold
02093,Cold
02108,Cold
02109,Cold
02110,Cold
02111,Cold
02112,N/A
02113,Cold
02114,Cold
02115,Cold
02116,Cold
02117,N/A
02118,Cold
02119,Cold
02120,Cold
02121,Cold
02122,Cold
02123,N/A
02124,Cold
02125,Cold
02126,Cold
02127,Cold
02128,Cold
02129,Cold
02130,Cold
02131,Cold
02132,Cold
02133,Cold
02134,Cold
02135,Cold
02136,Cold
02137,N/A
02138,Cold
02139,Cold
02140,Cold
02141,Cold
02142,Cold
02143,Cold
02144,Cold
02145,Cold
02148,Cold
02149,Cold
02150,Cold
02151,Cold
02152,Cold
02153,N/A
02155,Cold
02156,N/A
02163,Cold
02169,Cold
02170,Cold
02171,Cold
02176,Cold
02180,Cold
02184,Cold
02185,N/A
02186,Cold
02187,N/A
02188,Cold
02189,Cold
02190,Cold
02191,Cold
02196,N/A
02199,Cold
02201,Cold
02203,Cold
02204,Cold
02205,N/A
02206,Cold
02207,Cold
02210,Cold
02211,Cold
02212,Cold
02215,Cold
02216,Cold
02217,Cold
02222,Cold
02228,N/A
02238,N/A
02239,Cold
02241,Cold
02266,Cold
02269,N/A
02283,Cold
02284,Cold
02293,Cold
02295,Cold
02297,Cold
02298,N/A
02301,Cold
02302,Cold
